Index ,Name,Rating,Current_Price,Original_Price,Discount,Features
828,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
829,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
830,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
831,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
832,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
833,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
834,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
835,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
836,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
837,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
838,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
839,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
840,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
841,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
842,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
843,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
844,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
845,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
846,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
847,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
848,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
849,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
850,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
851,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
852,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
853,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
854,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
855,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
856,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
857,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
858,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
859,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
860,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
861,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
862,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
863,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
864,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
865,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
866,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
867,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
868,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
869,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
870,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
871,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
872,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
873,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
874,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
875,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
876,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
877,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
878,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
879,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
880,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
881,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
882,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
883,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
884,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
885,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
886,"SAMSUNG 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹19,490","₹27,000",27%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
887,Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,4,"₹7,999","₹11,499",30%,1600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
888,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
889,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
890,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
891,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
892,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
893,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
894,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
895,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
896,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
897,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
898,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
899,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
900,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,"₹8,290","₹13,990",40%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
901,Godrej 7 kg 5 Star with i,4.2,"₹13,990","₹19,890",29%,720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor
902,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,"₹11,790","₹19,990",41%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor
903,"LG 8 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹18,990","₹29,990",36%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor (T&C)
904,Panasonic 6 kg 5 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,4.3,"₹13,890","₹16,700",16%,680 rpm Max Speed5 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic
905,"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...",4.2,"₹31,990","₹40,900",21%,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor
906,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",4.2,"₹9,790","₹18,990",48%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
907,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,"₹7,690","₹12,490",38%,1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor
908,"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,"₹8,490","₹13,000",34%,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
909,Thomson 8 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹12,499","₹18,499",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
